1 10000000.0 63 13.649270234409553 3640.0 1  0 0 ((r4:0.002129,r3:0.002147):0.000544,(r5:0.003668,(r7:0.004277,r6:0.003812):0.000752):0.000315,((r0:0.002531,r1:0.002282):0.000707,r2:0.002754):0.000526); 1.8112781244591325 0.12857142857142856
1 10000000.0 64 13.48590663608789 3654.0 1  0 0 (r0:0.002327,r1:0.002419,((r3:0.002058,((r7:0.004397,r6:0.003662):0.000675,(r5:0.003636,r4:0.001987):0.00048):0.0004):0.000506,r2:0.002581):0.000666); 1.7342878726159023 0.11428571428571432
1 10000000.0 65 13.630402822699207 3543.0 1  0 0 (((r1:0.002302,r0:0.002349):0.000734,r2:0.002663):0.000618,r5:0.003681,((r3:0.002113,r4:0.00206):0.000528,(r7:0.004442,r6:0.003755):0.000672):0.000374); 2.979400370452434 0.30000000000000004
1 10000000.0 66 14.008852213053263 3676.0 1  0 0 (r3:0.002096,r4:0.002179,((r2:0.002866,(r0:0.002438,r1:0.002396):0.000737):0.000422,((r7:0.004473,r6:0.003914):0.000607,r5:0.003899):0.000268):0.000581); 1.8112781244591325 0.12857142857142856
1 10000000.0 67 13.92486812358704 3677.0 1  0 0 ((r3:0.002132,((r0:0.00245,r1:0.002572):0.00062,r2:0.00271):0.000419):0.000342,(r5:0.003601,r4:0.0021):0.000505,(r6:0.003792,r7:0.004384):0.000661); 1.7342878726159023 0.11428571428571432
1 10000000.0 68 13.675598296872707 3725.0 1  0 0 (r2:0.002817,(((r7:0.004378,r6:0.003858):0.000709,(r3:0.002038,r5:0.003595):0.000549):0.000372,r4:0.002273):0.000463,(r0:0.002497,r1:0.002337):0.000713); 2.6681222459933 0.24285714285714288
1 10000000.0 69 13.72005314045317 3672.0 1  0 0 (r2:0.002817,(((r3:0.002069,r5:0.003384):0.000575,(r7:0.004684,r6:0.003766):0.000594):0.000358,r4:0.002212):0.000457,(r0:0.002381,r1:0.002395):0.000837); 2.6681222459933 0.24285714285714288
1 10000000.0 6 13.711166654414468 3745.0 1  0 0 (r5:0.003841,((r3:0.001995,r4:0.002204):0.000542,(r2:0.002873,(r0:0.002406,r1:0.002475):0.000778):0.000433):0.000245,(r7:0.004599,r6:0.00374):0.000677); 1.8112781244591316 0.12857142857142856
1 10000000.0 70 13.924535343733671 3614.0 1  0 0 ((r4:0.00224,((r3:0.002149,r5:0.003634):0.000494,(r6:0.003806,r7:0.004569):0.00068):0.000472):0.000471,(r0:0.002321,r1:0.002271):0.000757,r2:0.002663); 2.6681222459933 0.24285714285714288
1 10000000.0 71 13.821078972547287 3657.0 1  0 0 ((r3:0.002077,r4:0.002212):0.000555,(r5:0.003671,(r2:0.00275,(r0:0.002331,r1:0.002216):0.000952):0.000525):0.000303,(r6:0.003702,r7:0.004564):0.00078); 2.979400370452434 0.30000000000000004
1 10000000.0 72 13.711869349664624 3734.0 1  0 0 ((((r1:0.00233,r0:0.002384):0.0008,r2:0.002962):0.000425,r4:0.002403):0.000397,(r5:0.003561,r3:0.002092):0.00053,(r7:0.004538,r6:0.003819):0.000676); 2.6681222459933007 0.24285714285714288
1 10000000.0 73 13.61434122736271 3575.0 1  0 0 ((r0:0.002325,r1:0.002399):0.000679,(((r5:0.003443,r4:0.002159):0.000509,(r6:0.003935,r7:0.004438):0.000722):0.000476,r3:0.001996):0.000471,r2:0.002835); 1.7342878726159014 0.11428571428571432
1 10000000.0 74 13.731854838709678 3615.0 1  0 0 ((((r4:0.002106,r3:0.001805):0.000553,r5:0.003619):0.000277,(r2:0.002675,(r1:0.002366,r0:0.002248):0.000868):0.00051):0.000651,r7:0.004349,r6:0.003829); 3.2136882430683356 0.30000000000000004
1 10000000.0 75 13.7519213715637 3760.0 1  0 0 (r0:0.002317,((((r7:0.004505,r6:0.003854):0.000699,r5:0.003768):0.000272,(r3:0.002105,r4:0.002206):0.000484):0.000398,r2:0.002663):0.000733,r1:0.002406); 1.8112781244591316 0.12857142857142856
1 10000000.0 76 13.666151582045622 3683.0 1  0 0 ((r5:0.003759,(((r0:0.002295,r1:0.002544):0.000673,r2:0.002713):0.000504,(r3:0.002161,r4:0.002114):0.000525):0.000296):0.000729,r7:0.004435,r6:0.003773); 1.8112781244591316 0.12857142857142856
1 10000000.0 77 13.778056889545622 3816.0 1  0 0 ((r2:0.002787,(r1:0.002421,r0:0.002461):0.000659):0.000441,r4:0.00226,((r3:0.002046,r5:0.003737):0.000494,(r6:0.003938,r7:0.00437):0.00062):0.00042); 2.6681222459933007 0.24285714285714288
1 10000000.0 78 13.651904340124004 3705.0 1  0 0 (((r3:0.002284,(r2:0.002797,(r0:0.002273,r1:0.002288):0.000756):0.000509):0.000349,(r5:0.003679,r4:0.00212):0.000504):0.000655,r7:0.004518,r6:0.003713); 1.7342878726159023 0.11428571428571432
