1000 100000.0 49 13.163682797164421 90.617 821 (r5:1,((r6:1,r7:1)1:0.14822422009,(r4:1,((r2:1,(r0:1,r1:1)1:0.164695593004)1:0.120627987789,r3:1)0.61:0.0186544355718)0.49:0.0142747275331):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.227774637881)0.66:0.0215211360539)0.6:0.0184848146741)1:0.300754154019)1:0.337871816976,r0:1):0); 0.0 0.0
1000 100000.0 4 13.195121642999126 90.743 841 (r7:1,(r6:1,((r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.181802211158)1:0.143715802535)0.5:0.0161131381431)0.73:0.0261250191138,r4:1)1:0.110702765425):0); 0.17556643393915275 0.11428571428571432 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.266528768144)0.54:0.0152963042844)0.6:0.0188891079802)1:0.316838656743,r2:1)1:0.247923580313):0); 0.0 0.0
1000 100000.0 50 13.170764794389742 91.073 834 (r0:1,(r1:1,(((r6:1,r7:1)1:0.119783036323,(r3:1,(r4:1,r5:1)0.63:0.0229384078518)0.45:0.0121868459737)1:0.15823827676,r2:1)1:0.116747108877):0); 0.34833084106647516 0.2857142857142857 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.21766408555,r5:1)0.51:0.0135149934035)0.55:0.0156056527224)1:0.302526979607)1:0.292689594182):0); 0.0 0.0
1000 100000.0 51 13.165090641027684 90.74 838 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.12588268248)1:0.130610018214)0.81:0.0331783986973)0.45:0.00840183009985,r5:1)1:0.124523986619):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.252928403079,r5:1)0.58:0.016557399249)0.75:0.0283706971292)1:0.280465418014)1:0.259122770543):0); 0.0 0.0
1000 100000.0 52 13.198260047751592 91.479 813 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.121473653801,r2:1)1:0.14653118068)0.44:0.00802411527005)0.42:0.00802411527005)1:0.152054975253):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.311745512383)1:0.324827019421)0.82:0.0331783986973)0.87:0.0371449469694)1:0.283097194491):0); 0.0 0.0
1000 100000.0 53 13.160178632074071 91.021 805 (r7:1,(r6:1,(r4:1,(r3:1,((r2:1,(r1:1,r0:1)1:0.122828208698)1:0.144364802017,r5:1)0.36:0.00200000066667)0.47:0.0119972545426)1:0.145794085236):0); 0.29942994635879155 0.24285714285714288 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.307660539383)1:0.304561173272)0.97:0.0526437334854)0.51:0.0126957899089,(r6:1,r7:1)1:0.281110307289):0); 0.0 0.0
1000 100000.0 54 13.119480633489284 90.821 828 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.179289196014)1:0.132960697788)0.75:0.0292275217896)0.44:0.0110498361866)1:0.145447404699):0); 0.0 0.0 (r2:1,((r0:1,r1:1)1:0.334934957302,(r3:1,(r4:1,((r6:1,r7:1)1:0.251771218765,r5:1)0.45:0.00821295485139)0.82:0.0336948831712)1:0.306845543413):0); 0.0 0.0
1000 100000.0 55 13.15014196153295 91.002 831 (r5:1,((r4:1,(r6:1,r7:1)1:0.105360515658)0.67:0.0257405515966,(r3:1,(r2:1,(r1:1,r0:1)1:0.156601232428)1:0.158969966263)0.57:0.0176371414861):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.246005298504)0.6:0.0190361878192)0.98:0.0588051824295)1:0.34896250367,(r0:1,r1:1)1:0.257182905725):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 56 13.156859836314142 91.354 842 (r7:1,(r6:1,((r5:1,r4:1)0.44:0.00783531134237,(r3:1,((r0:1,r1:1)1:0.136132174325,r2:1)1:0.108445522482)0.97:0.0534777069783)1:0.103655343584):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r7:1,r6:1)1:0.252928403079,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.330754349207)1:0.298731908638)0.46:0.00903167203035)0.84:0.0352028216746):0); 0.0 0.0
1000 100000.0 57 13.166850943866955 91.064 802 (r5:1,((r6:1,r7:1)1:0.100709344482,(r4:1,((r2:1,(r0:1,r1:1)1:0.141296585872)1:0.159848700942,r3:1)0.47:0.00987207883668)0.78:0.0328772392311):0); 0.0 0.0 (r6:1,(r7:1,(r4:1,(r5:1,((r2:1,(r1:1,r0:1)1:0.337451737154)1:0.3015135516,r3:1)0.89:0.0409538158401)0.52:0.0146548111561)1:0.259511195485):0); 0.17556643393915275 0.11428571428571432
