1000 100000.0 4 13.672916279916778 63.21 873 (r1:1,(r0:1,((r3:1,((r4:1,r5:1)0.45:0.0085907410289,(r6:1,r7:1)1:0.15174971829)0.73:0.0267019976855)1:0.162048921851,r2:1)1:0.149963653473):0); 0.19443359141936595 0.11428571428571432 (r1:1,(r0:1,((r3:1,((r6:1,r7:1)1:0.216826135684,(r5:1,r4:1)0.46:0.0104818157226)0.95:0.0487464588308)1:0.203421728834,r2:1)1:0.301969467112):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 50 13.619438487338588 63.308 873 (r4:1,(r5:1,((r6:1,r7:1)1:0.102824606257,(r3:1,(r2:1,(r1:1,r0:1)1:0.174638856744)1:0.152185828196)0.52:0.0161131381431)0.64:0.030750195985):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.273595935367,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.240272433577)0.43:0.00689182603792)0.9:0.0423424638675)1:0.186576349848):0); 0.0 0.0
1000 100000.0 51 13.599293665229114 63.612 880 (r6:1,(r7:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.110033421357)1:0.16897446342,(r4:1,r3:1)0.48:0.0107131925207)0.66:0.0260609309285)1:0.125203103792):0); 0.20410776171712283 0.12857142857142856 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.226270312663)1:0.200670695462)0.5:0.0134095204098,(r5:1,(r6:1,r7:1)1:0.203972844858)0.66:0.0217125419306):0); 0.0 0.0
1000 100000.0 52 13.655841345471426 63.866 883 (r2:1,((r0:1,r1:1)1:0.177140198052,(((r7:1,r6:1)1:0.133602752385,(r4:1,r5:1)0.46:0.0133251500237)0.64:0.0215849339422,r3:1)1:0.104070971187):0); 0.19443359141936595 0.11428571428571432 (r1:1,((r2:1,((r3:1,r4:1)0.45:0.00835985473938,(r5:1,(r6:1,r7:1)1:0.237608302601)0.43:0.00664038022317)1:0.204034098725)1:0.224393082903,r0:1):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 53 13.65482725097311 63.063 870 (r7:1,(r6:1,(r5:1,(r3:1,(r4:1,((r0:1,r1:1)1:0.166817985028,r2:1)1:0.138323791196)0.38:0.00366972888896)0.61:0.0186544355718)1:0.138538914355):0); 0.1790338045715902 0.12857142857142856 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.239510528778)1:0.201128675777,r3:1)0.66:0.0259754864033)0.84:0.0348148488278)1:0.27517322276):0); 0.0 0.0
1000 100000.0 54 13.633489164960505 63.758 867 (r3:1,((r2:1,(r0:1,r1:1)1:0.141641830136)1:0.122743495241,((r5:1,(r6:1,r7:1)1:0.119107588813)0.49:0.016557399249,r4:1)0.88:0.0428637044318):0); 0.0 0.0 (r1:1,(r0:1,((r3:1,((r6:1,r7:1)1:0.219622036853,(r5:1,r4:1)0.43:0.0085907410289)0.73:0.0261891114067)1:0.239653341718,r2:1)1:0.241416380318):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 55 13.669383680448846 63.279 865 (r6:1,(r7:1,((r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.160816201787)1:0.14891963041)0.8:0.0316305438866)0.61:0.021138434174,r4:1)1:0.115400760643):0); 0.17556643393915275 0.11428571428571432 (r7:1,((r4:1,(r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.270056108662)1:0.220072453829)0.8:0.0328342238531)0.43:0.00764654305488)1:0.21990205739,r6:1):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 56 13.676778042620342 63.454 873 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.117083979354)0.48:0.0104818157226)0.48:0.0102084394184,r3:1)1:0.151967749469)1:0.0865573886947):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.240272433577)0.51:0.0133251500237)0.83:0.0343839443527,((r1:1,r0:1)1:0.282301965821,r2:1)1:0.185222864417):0); 0.0 0.0
1000 100000.0 57 13.687351959708998 63.203 889 (r4:1,((r5:1,(r6:1,r7:1)1:0.144754403978)0.58:0.0167478573012,(r3:1,(r2:1,(r1:1,r0:1)1:0.164695593004)1:0.122531742991)0.53:0.0154365481309):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r3:1,r4:1)0.72:0.027977395392,(r5:1,(r7:1,r6:1)1:0.241398306625)0.63:0.0252153174646)1:0.18654431754)1:0.235709688019):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 58 13.632523263025602 63.945 869 (r2:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.13236181853)0.4:0.00557244030322)0.82:0.0335226920386)1:0.119571909963,(r0:1,r1:1)1:0.161168252486):0); 0.0 0.0 (r2:1,((r0:1,r1:1)1:0.258734496417,((r5:1,(r6:1,r7:1)1:0.186847266904)0.79:0.0314587078178,(r3:1,r4:1)0.56:0.0162823571976)1:0.240208919334):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 59 13.60864684738236 63.976 865 (r2:1,((r3:1,(r5:1,(r4:1,(r7:1,r6:1)1:0.136819223476)0.46:0.0104818157226)0.71:0.0259754864033)1:0.148050443045,(r1:1,r0:1)1:0.13991679952):0); 0.17556643393915275 0.11428571428571432 (r0:1,(r1:1,(r2:1,(r3:1,(r5:1,((r6:1,r7:1)1:0.249845549,r4:1)0.56:0.016557399249)0.5:0.0161131381431)1:0.286434100244)1:0.206917270982):0); 0.17556643393915275 0.11428571428571432
