1000 1000000.0 52 12.123047695718965 2136.659 76 (r3:1,(((r0:1,r1:1)0.75:0.0274718206642,((r4:1,r5:1)1:0.232301239349,(r7:1,r6:1)0.66:0.0224785320102)0.99:0.0608490319845)1:0.268633877481,r2:1):0); 0.0 0.0 (r6:1,(r7:1,((r5:1,r4:1)1:5.25052670271,((r2:1,r3:1)1:4.99921227443,(r1:1,r0:1)1:0.661921533598)1:0.790382288774)1:0.751510998283):0); 0.0 0.0
1000 1000000.0 53 12.122249418333631 2138.446 78 (r5:1,(r4:1,(((r0:1,r1:1)0.89:0.0396753619449,(r2:1,r3:1)1:0.262770191)0.95:0.049566251961,(r6:1,r7:1)0.93:0.0457353941745)1:0.242036564962):0); 0.0 0.0 (r6:1,(r7:1,(((r3:1,r2:1)1:5.53820877516,(r1:1,r0:1)1:0.694021688705)1:0.757485921455,(r4:1,r5:1)1:4.59374716632)1:0.675079618176):0); 0.0 0.0
1000 1000000.0 54 12.123510414388194 2136.989 77 (r2:1,(r3:1,(r1:1,(((r7:1,r6:1)0.72:0.028242236727,(r5:1,r4:1)1:0.248019591066)0.94:0.0470434388345,r0:1)0.42:0.00689182603792)1:0.243325871064):0); 0.20088165898146854 0.11428571428571432 (r4:1,(((r6:1,r7:1)1:0.646428519685,((r2:1,r3:1)1:5.58699893933,(r1:1,r0:1)1:0.70117129583)1:0.789144409515)1:5.74951786883,r5:1):0); 0.0 0.0
1000 1000000.0 55 12.112512519367876 2140.319 74 (r6:1,(r7:1,((r4:1,r5:1)1:0.274285692501,((r0:1,r1:1)0.86:0.0367562200452,(r2:1,r3:1)1:0.247539629454)0.78:0.0301708776334)0.8:0.0321032453844):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.40467738254,((r4:1,r5:1)1:5.25052670271,(r7:1,r6:1)1:0.729514824731)1:0.775627922761)1:0.683948855917,r1:1):0); 0.0 0.0
1000 1000000.0 56 12.117922634735017 2140.849 78 (r4:1,(((r6:1,r7:1)0.45:0.0112392480633,((r2:1,r3:1)1:0.222425777008,(r0:1,r1:1)0.56:0.0157959295758)0.99:0.0651381014493)1:0.259122770543,r5:1):0); 0.0 0.0 (r0:1,(r1:1,((r2:1,r3:1)1:5.58699893933,((r5:1,r4:1)1:4.42384812953,(r7:1,r6:1)1:0.6615584913)1:0.729903400605)1:0.755490311134):0); 0.0 0.0
1000 1000000.0 57 12.125883976098896 2137.914 79 (r2:1,(r3:1,((r1:1,r0:1)0.42:0.00877968765205,((r6:1,r7:1)0.74:0.0276643690426,(r5:1,r4:1)1:0.243230309881)0.79:0.0305570525754)1:0.224064929699):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.25052670271,((r4:1,r5:1)1:5.40467738254,(r7:1,r6:1)1:0.746756631165)1:0.754693180761)1:0.778071915831,r1:1):0); 0.0 0.0
1000 1000000.0 58 12.12197910940493 2135.773 74 (r2:1,(r3:1,(((r7:1,r6:1)0.49:0.0137048728306,(r4:1,r5:1)1:0.26643096385)0.91:0.0428962909898,(r1:1,r0:1)0.88:0.0400652254976)1:0.251626664834):0); 0.0 0.0 (r6:1,(((r4:1,r5:1)1:5.58699893933,((r0:1,r1:1)1:0.721774848011,(r3:1,r2:1)1:5.11699531009)1:0.695898213932)1:0.764300940816,r7:1):0); 0.0 0.0
1000 1000000.0 59 12.117230076887434 2134.848 77 (r1:1,((r0:1,(r3:1,r2:1)1:0.25757057776)0.66:0.0226701212435,((r5:1,r4:1)1:0.298226985628,(r7:1,r6:1)0.57:0.0163669774642)0.94:0.0459968662638):0); 0.20088165898146854 0.11428571428571432 (r6:1,(((r5:1,r4:1)1:5.58699893933,((r1:1,r0:1)1:0.751113936534,(r2:1,r3:1)1:4.61243929933)1:0.676920900228)1:0.704197016747,r7:1):0); 0.0 0.0
1000 1000000.0 5 12.12324979808961 2136.871 80 (r0:1,(r1:1,((r3:1,r2:1)1:0.259608325299,((r5:1,r4:1)1:0.203192186769,(r6:1,r7:1)0.96:0.0504523840526)0.98:0.0584631077987)0.72:0.0257405515966):0); 0.0 0.0 (r3:1,(((r0:1,r1:1)1:0.678396370802,((r4:1,r5:1)1:4.99921227443,(r6:1,r7:1)1:0.704197016747)1:0.743205631182)1:4.91916956676,r2:1):0); 0.0 0.0
1000 1000000.0 60 12.120746766871223 2140.528 76 (r3:1,(r2:1,(r1:1,(r0:1,((r4:1,r5:1)1:0.300754154019,(r6:1,r7:1)0.69:0.023436845452)0.97:0.0528192490629)0.48:0.0175100524601)1:0.270056108662):0); 0.20088165898146854 0.11428571428571432 (r0:1,(((r3:1,r2:1)1:4.7540898164,((r7:1,r6:1)1:0.686922835804,(r5:1,r4:1)1:5.25052670271)1:0.705713317264)1:0.766717373728,r1:1):0); 0.0 0.0
1000 1000000.0 61 12.119436902680265 2137.063 76 (r6:1,(((r4:1,r5:1)1:0.249701273144,((r1:1,r0:1)0.7:0.0243960781395,(r2:1,r3:1)1:0.286184692586)0.87:0.0375338250611)0.78:0.0301708776334,r7:1):0); 0.0 0.0 (r1:1,(((r3:1,r2:1)1:5.25052670271,((r5:1,r4:1)1:5.63829223372,(r6:1,r7:1)1:0.752703130353)1:0.730681005621)1:0.705713317264,r0:1):0); 0.0 0.0
1000 1000000.0 62 12.122778586575675 2133.476 75 (r4:1,(r5:1,(r6:1,(((r1:1,r0:1)0.58:0.0175100524601,(r2:1,r3:1)1:0.263501274255)0.76:0.0299135104977,r7:1)0.66:0.0222869794763)1:0.207654734142):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,(((r6:1,r7:1)1:0.658297027999,(r4:1,r5:1)1:5.11699531009)1:0.748338909976,(r3:1,r2:1)1:5.18153383122)1:0.648217749005):0); 0.0 0.0
1000 1000000.0 63 12.119956133477663 2138.77 77 (r5:1,(((r7:1,r6:1)0.94:0.0498615420856,(r0:1,(r1:1,(r2:1,r3:1)1:0.203972844858)0.45:0.0112392480633)0.88:0.0389610066202)1:0.257909914118,r4:1):0); 0.20088165898146854 0.11428571428571432 (r2:1,(((r1:1,r0:1)1:0.658658887963,((r4:1,r5:1)1:5.32463467487,(r7:1,r6:1)1:0.674344053597)1:0.710276062823)1:5.63829223372,r3:1):0); 0.0 0.0
